icd_version,icd_code,full_code,comorbid_type,description
DIAG-ICD10,J80,J80,ards,Acute respiratory distress syndrome
DIAG-ICD9,444,44409,arterial_thromb,Other arterial embolism and thrombosis of abdominal aorta
DIAG-ICD9,444,4441,arterial_thromb,Embolism and thrombosis of thoracic aorta
DIAG-ICD9,444,44421,arterial_thromb,Arterial embolism and thrombosis of upper extremity
DIAG-ICD9,444,44422,arterial_thromb,Arterial embolism and thrombosis of lower extremity
DIAG-ICD9,444,44481,arterial_thromb,Embolism and thrombosis of iliac artery
DIAG-ICD9,444,44489,arterial_thromb,Embolism and thrombosis of other specified artery
DIAG-ICD9,444,4449,arterial_thromb,Embolism and thrombosis of unspecified artery
DIAG-ICD9,445,44501,arterial_thromb,Atheroembolism of upper extremity
DIAG-ICD9,445,44502,arterial_thromb,Atheroembolism of lower extremity
DIAG-ICD9,445,44581,arterial_thromb,Atheroembolism of kidney
DIAG-ICD9,445,44589,arterial_thromb,Atheroembolism of other site
DIAG-ICD10,I74,I7401,arterial_thromb,Saddle embolus of abdominal aorta
DIAG-ICD10,I74,I7409,arterial_thromb,Other arterial embolism and thrombosis of abdominal aorta
DIAG-ICD10,I74,I7410,arterial_thromb,Embolism and thrombosis of unspecified parts of aorta
DIAG-ICD10,I74,I7411,arterial_thromb,Embolism and thrombosis of thoracic aorta
DIAG-ICD10,I74,I7419,arterial_thromb,Embolism and thrombosis of other parts of aorta
DIAG-ICD10,I74,I742,arterial_thromb,Embolism and thrombosis of arteries of the upper extremities
DIAG-ICD10,I74,I743,arterial_thromb,Embolism and thrombosis of arteries of the lower extremities
DIAG-ICD10,I74,I744,arterial_thromb,"Embolism and thrombosis of arteries of extremities, unspecified"
DIAG-ICD10,I74,I745,arterial_thromb,Embolism and thrombosis of iliac artery
DIAG-ICD10,I74,I748,arterial_thromb,Embolism and thrombosis of other arteries
DIAG-ICD10,I74,I749,arterial_thromb,Embolism and thrombosis of unspecified artery
DIAG-ICD10,I75,I75011,arterial_thromb,Atheroembolism of right upper extremity
DIAG-ICD10,I75,I75012,arterial_thromb,Atheroembolism of left upper extremity
DIAG-ICD10,I75,I75013,arterial_thromb,Atheroembolism of bilateral upper extremities
DIAG-ICD10,I75,I75019,arterial_thromb,Atheroembolism of unspecified upper extremity
DIAG-ICD10,I75,I75021,arterial_thromb,Atheroembolism of right lower extremity
DIAG-ICD10,I75,I75022,arterial_thromb,Atheroembolism of left lower extremity
DIAG-ICD10,I75,I75023,arterial_thromb,Atheroembolism of bilateral lower extremities
DIAG-ICD10,I75,I75029,arterial_thromb,Atheroembolism of unspecified lower extremity
DIAG-ICD10,I75,I7581,arterial_thromb,Atheroembolism of kidney
DIAG-ICD10,I75,I7589,arterial_thromb,Atheroembolism of other site
DIAG-ICD10,I76,I76,arterial_thromb,Septic arterial embolism
DIAG-ICD9,493,493,asthma,"Extrinsic asthma, unspecified"
DIAG-ICD9,493,49301,asthma,Extrinsic asthma with status asthmaticus
DIAG-ICD9,493,49302,asthma,Extrinsic asthma with (acute) exacerbation
DIAG-ICD9,493,4931,asthma,"Intrinsic asthma, unspecified"
DIAG-ICD9,493,49311,asthma,Intrinsic asthma with status asthmaticus
DIAG-ICD9,493,49312,asthma,Intrinsic asthma with (acute) exacerbation
DIAG-ICD9,493,4932,asthma,"Chronic obstructive asthma, unspecified"
DIAG-ICD9,493,49321,asthma,Chronic obstructive asthma with status asthmaticus
DIAG-ICD9,493,49322,asthma,Chronic obstructive asthma with (acute) exacerbation
DIAG-ICD9,493,49381,asthma,Exercise induced bronchospasm
DIAG-ICD9,493,49382,asthma,Cough variant asthma
DIAG-ICD9,493,4939,asthma,"Asthma, unspecified type, unspecified"
DIAG-ICD9,493,49391,asthma,"Asthma, unspecified type, with status asthmaticus"
DIAG-ICD9,493,49392,asthma,"Asthma, unspecified type, with (acute) exacerbation"
DIAG-ICD10,J45,J4520,asthma,"Mild intermittent asthma, uncomplicated"
DIAG-ICD10,J45,J4521,asthma,Mild intermittent asthma with (acute) exacerbation
DIAG-ICD10,J45,J4522,asthma,Mild intermittent asthma with status asthmaticus
DIAG-ICD10,J45,J4530,asthma,"Mild persistent asthma, uncomplicated"
DIAG-ICD10,J45,J4531,asthma,Mild persistent asthma with (acute) exacerbation
DIAG-ICD10,J45,J4532,asthma,Mild persistent asthma with status asthmaticus
DIAG-ICD10,J45,J4540,asthma,"Moderate persistent asthma, uncomplicated"
DIAG-ICD10,J45,J4541,asthma,Moderate persistent asthma with (acute) exacerbation
DIAG-ICD10,J45,J4542,asthma,Moderate persistent asthma with status asthmaticus
DIAG-ICD10,J45,J4550,asthma,"Severe persistent asthma, uncomplicated"
DIAG-ICD10,J45,J4551,asthma,Severe persistent asthma with (acute) exacerbation
DIAG-ICD10,J45,J4552,asthma,Severe persistent asthma with status asthmaticus
DIAG-ICD10,J45,J45901,asthma,Unspecified asthma with (acute) exacerbation
DIAG-ICD10,J45,J45902,asthma,Unspecified asthma with status asthmaticus
DIAG-ICD10,J45,J45909,asthma,"Unspecified asthma, uncomplicated"
DIAG-ICD10,J45,J45990,asthma,Exercise induced bronchospasm
DIAG-ICD10,J45,J45991,asthma,Cough variant asthma
DIAG-ICD10,J45,J45998,asthma,Other asthma
DIAG-ICD9,494,494,bronchiectasis,Bronchiectasis without acute exacerbation
DIAG-ICD9,494,4941,bronchiectasis,Bronchiectasis with acute exacerbation
DIAG-ICD10,J47,J470,bronchiectasis,Bronchiectasis with acute lower respiratory infection
DIAG-ICD10,J47,J471,bronchiectasis,Bronchiectasis with (acute) exacerbation
DIAG-ICD10,J47,J479,bronchiectasis,"Bronchiectasis, uncomplicated"
DIAG-ICD9,285,28521,ckd,Anemia in chronic kidney disease
DIAG-ICD9,403,403,ckd,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,403,40301,ckd,"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,403,4031,ckd,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,403,40311,ckd,"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,403,4039,ckd,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,403,40391,ckd,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,404,404,ckd,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,404,40401,ckd,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,404,40402,ckd,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,404,40403,ckd,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,404,4041,ckd,"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,404,40411,ckd,"Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,404,40412,ckd,"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,404,40413,ckd,"Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,404,4049,ckd,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,404,40491,ckd,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified"
DIAG-ICD9,404,40492,ckd,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,404,40493,ckd,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease"
DIAG-ICD9,585,5851,ckd,"Chronic kidney disease, Stage I"
DIAG-ICD9,585,5852,ckd,"Chronic kidney disease, Stage II (mild)"
DIAG-ICD9,585,5853,ckd,"Chronic kidney disease, Stage III (moderate)"
DIAG-ICD9,585,5854,ckd,"Chronic kidney disease, Stage IV (severe)"
DIAG-ICD9,585,5855,ckd,"Chronic kidney disease, Stage V"
DIAG-ICD10,D63,D631,ckd,Anemia in chronic kidney disease
DIAG-ICD10,E08,E0822,ckd,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease
DIAG-ICD10,E09,E0922,ckd,Drug or chemical induced diabetes mellitus with diabetic chronic kidney disease
DIAG-ICD10,E10,E1022,ckd,Type 1 diabetes mellitus with diabetic chronic kidney disease
DIAG-ICD10,E11,E1122,ckd,Type 2 diabetes mellitus with diabetic chronic kidney disease
DIAG-ICD10,E13,E1322,ckd,Other specified diabetes mellitus with diabetic chronic kidney disease
DIAG-ICD10,I12,I120,ckd,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease
DIAG-ICD10,I12,I129,ckd,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
DIAG-ICD10,I13,I130,ckd,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
DIAG-ICD10,I13,I1310,ckd,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease"
DIAG-ICD10,I13,I1311,ckd,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease"
DIAG-ICD10,I13,I132,ckd,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease"
DIAG-ICD10,N18,N181,ckd,"Chronic kidney disease, stage 1"
DIAG-ICD10,N18,N182,ckd,"Chronic kidney disease, stage 2 (mild)"
DIAG-ICD10,N18,N183,ckd,"Chronic kidney disease, stage 3 (moderate)"
DIAG-ICD10,N18,N184,ckd,"Chronic kidney disease, stage 4 (severe)"
DIAG-ICD10,N18,N185,ckd,"Chronic kidney disease, stage 5"
DIAG-ICD10,N18,N186,ckd,End stage renal disease
DIAG-ICD10,N18,N189,ckd,"Chronic kidney disease, unspecified"
DIAG-ICD10,O10,O10211,ckd,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester"
DIAG-ICD10,O10,O10212,ckd,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, second trimester"
DIAG-ICD10,O10,O10213,ckd,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester"
DIAG-ICD10,O10,O10219,ckd,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, unspecified trimester"
DIAG-ICD10,O10,O1022,ckd,Pre-existing hypertensive chronic kidney disease complicating childbirth
DIAG-ICD10,O10,O1023,ckd,Pre-existing hypertensive chronic kidney disease complicating the puerperium
DIAG-ICD10,O10,O10311,ckd,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first trimester"
DIAG-ICD10,O10,O10312,ckd,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second trimester"
DIAG-ICD10,O10,O10313,ckd,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester"
DIAG-ICD10,O10,O10319,ckd,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, unspecified trimester"
DIAG-ICD10,O10,O1032,ckd,Pre-existing hypertensive heart and chronic kidney disease complicating childbirth
